,Open,High,Low,Close,Adj Close,Volume
2025-04-10,282.5,288.3119,261.37,272.34,272.34,19237822
2025-04-11,281.3,304.15,276.3001,299.98,299.98,21334111
2025-04-14,309.8,314.6,300.1,311.45,311.45,15635383
2025-04-15,312.22,319.75,306.81,310.72,310.72,11217784
2025-04-16,306.06,318.6,304.0,311.66,311.66,12847246
2025-04-17,313.89,320.0,306.0,317.2,317.2,13511095
2025-04-21,324.99,330.994,309.0,317.76,317.76,16053189
2025-04-22,328.705,348.9599,327.01,343.03,343.03,24036452
2025-04-23,354.7,355.83,339.0,345.73,345.73,16690664
2025-04-24,344.97,351.03,343.2401,350.34,350.34,10781381
2025-04-25,354.0,373.23,353.12,368.71,368.71,19338560
2025-04-28,373.29,373.66,354.53,369.25,369.25,11490917
2025-04-29,369.02,383.95,366.8,381.45,381.45,13038829
2025-04-30,373.775,384.0,362.3901,380.11,380.11,13762876
2025-05-01,392.29,403.9,381.03,381.6,381.6,16944133
2025-05-02,393.875,401.7,387.51,394.37,394.37,15947978
2025-05-05,383.33,391.93,374.2,386.53,386.53,14424129
2025-05-06,378.56,387.86,377.77,385.6,385.6,9695615
2025-05-07,393.8,396.35,388.26,392.48,392.48,10607553
2025-05-08,408.165,423.105,404.5,414.38,414.38,22135578
2025-05-09,420.0,430.3499,406.22,416.03,416.03,17161815
2025-05-12,420.92,422.04,400.83,404.9,404.9,16245468
2025-05-13,412.5499,422.55,404.12,421.61,421.61,12924974
2025-05-14,420.395,425.94,410.41,416.75,416.75,10722652
2025-05-15,411.7,415.36,394.14,397.03,397.03,14674666
2025-05-16,399.0,406.8965,389.01,399.8,399.8,12461115
2025-05-19,392.81,414.59,392.62,413.42,413.42,12821966
2025-05-20,413.5,417.85,406.1025,416.92,416.92,11532230
2025-05-21,415.92,423.34,395.5285,402.69,402.69,18698520
2025-05-22,413.2,426.32,398.91,399.46,399.46,16511372
2025-05-23,391.51,392.19,367.31,369.51,369.51,21448767
2025-05-27,381.115,381.3,364.18,372.2,372.2,14115975
2025-05-28,368.53,370.6523,358.5,364.25,364.25,9936835
2025-05-29,370.785,373.86,362.74,370.63,370.63,10217575
2025-05-30,369.0,372.56,359.155,369.06,369.06,12564026
2025-06-02,367.885,378.43,367.019,372.27,372.27,8102772
2025-06-03,379.4,391.0099,371.37,387.43,387.43,11351756
2025-06-04,385.8,386.12,375.66,378.1,378.1,8472192
2025-06-05,383.85,385.3799,364.3029,368.79,368.79,11957637
2025-06-06,377.4,380.6,369.71,374.47,374.47,9384245
2025-06-09,380.68,394.79,377.6,392.12,392.12,10924592
2025-06-10,393.24,394.0,383.6,391.18,391.18,7074796
